neuron_id,neuron_type,partner_id,connection_type
720575940630610042,DNp32,720575940641285005,upstream
720575940630610042,DNp32,720575940620661168,upstream
720575940630610042,DNp32,720575940610896338,upstream
720575940630610042,DNp32,720575940630955205,upstream
720575940630610042,DNp32,720575940614529430,upstream
720575940630610042,DNp32,720575940613355670,upstream
720575940630610042,DNp32,720575940610941906,upstream
720575940630610042,DNp32,720575940627677017,upstream
720575940630610042,DNp32,720575940655597185,upstream
720575940630610042,DNp32,720575940621328508,upstream
720575940630610042,DNp32,720575940605705406,upstream
720575940630610042,DNp32,720575940611423402,upstream
720575940630610042,DNp32,720575940632890681,upstream
720575940630610042,DNp32,720575940638890355,upstream
720575940630610042,DNp32,720575940609619666,upstream
720575940630610042,DNp32,720575940627879623,upstream
720575940630610042,DNp32,720575940609834308,upstream
720575940630610042,DNp32,720575940636096948,upstream
720575940630610042,DNp32,720575940626199429,upstream
720575940630610042,DNp32,720575940623305963,upstream
720575940630610042,DNp32,720575940604810016,upstream
720575940630610042,DNp32,720575940606584766,upstream
720575940630610042,DNp32,720575940643768736,upstream
720575940630610042,DNp32,720575940623099085,upstream
720575940630610042,DNp32,720575940624983054,upstream
720575940630610042,DNp32,720575940619177045,upstream
720575940630610042,DNp32,720575940614388447,upstream
720575940630610042,DNp32,720575940618995505,upstream
720575940630610042,DNp32,720575940620195610,upstream
720575940630610042,DNp32,720575940626564337,upstream
720575940630610042,DNp32,720575940629464305,upstream
720575940630610042,DNp32,720575940619090548,upstream
720575940630610042,DNp32,720575940617700253,upstream
720575940630610042,DNp32,720575940605707710,upstream
720575940630610042,DNp32,720575940615366055,upstream
720575940630610042,DNp32,720575940628023685,upstream
720575940630610042,DNp32,720575940617620800,upstream
720575940630610042,DNp32,720575940628411706,upstream
720575940630610042,DNp32,720575940620204166,upstream
720575940630610042,DNp32,720575940642941988,upstream
720575940630610042,DNp32,720575940618153296,upstream
720575940630610042,DNp32,720575940632900665,upstream
720575940630610042,DNp32,720575940619898971,upstream
720575940630610042,DNp32,720575940630933816,upstream
720575940630610042,DNp32,720575940630921027,upstream
720575940630610042,DNp32,720575940623282985,upstream
720575940630610042,DNp32,720575940620100884,upstream
720575940630610042,DNp32,720575940635229591,upstream
720575940630610042,DNp32,720575940627572484,upstream
720575940630610042,DNp32,720575940614159010,upstream
720575940630610042,DNp32,720575940632353228,upstream
720575940630610042,DNp32,720575940636148325,upstream
720575940630610042,DNp32,720575940625334970,upstream
720575940630610042,DNp32,720575940624111083,upstream
720575940630610042,DNp32,720575940626497286,upstream
720575940630610042,DNp32,720575940617936029,upstream
720575940630610042,DNp32,720575940604921446,upstream
720575940630610042,DNp32,720575940641193717,upstream
720575940630610042,DNp32,720575940654752673,upstream
720575940630610042,DNp32,720575940625501882,upstream
720575940630610042,DNp32,720575940612882355,upstream
720575940630610042,DNp32,720575940614553234,upstream
720575940630610042,DNp32,720575940613106582,upstream
720575940630610042,DNp32,720575940623039928,upstream
720575940630610042,DNp32,720575940624406408,upstream
720575940630610042,DNp32,720575940631472963,upstream
720575940630610042,DNp32,720575940623356651,upstream
720575940630610042,DNp32,720575940605013420,upstream
720575940630610042,DNp32,720575940617869339,upstream
720575940630610042,DNp32,720575940624402173,upstream
720575940630610042,DNp32,720575940634334675,upstream
720575940630610042,DNp32,720575940639053146,upstream
720575940630610042,DNp32,720575940624695566,upstream
720575940630610042,DNp32,720575940636066167,upstream
720575940630610042,DNp32,720575940620738403,upstream
720575940630610042,DNp32,720575940622696944,upstream
720575940630610042,DNp32,720575940625741287,upstream
720575940630610042,DNp32,720575940639068605,upstream
720575940630610042,DNp32,720575940613898449,upstream
720575940630610042,DNp32,720575940604030176,upstream
720575940630610042,DNp32,720575940611856498,upstream
720575940630610042,DNp32,720575940640311715,upstream
720575940630610042,DNp32,720575940619474548,upstream
720575940630610042,DNp32,720575940621423604,upstream
720575940630610042,DNp32,720575940642398965,upstream
720575940630610042,DNp32,720575940627557653,upstream
720575940630610042,DNp32,720575940621132894,upstream
720575940630610042,DNp32,720575940632615507,upstream
720575940630610042,DNp32,720575940623538249,upstream
720575940630610042,DNp32,720575940620420544,upstream
720575940630610042,DNp32,720575940629523706,upstream
720575940630610042,DNp32,720575940620199872,upstream
720575940630610042,DNp32,720575940611967658,upstream
720575940630610042,DNp32,720575940621457690,upstream
720575940630610042,DNp32,720575940610040538,upstream
720575940630610042,DNp32,720575940621650011,upstream
720575940630610042,DNp32,720575940633352929,upstream
720575940630610042,DNp32,720575940637574515,upstream
720575940630610042,DNp32,720575940632410828,upstream
720575940630610042,DNp32,720575940630692986,upstream
720575940630610042,DNp32,720575940632311115,upstream
720575940630610042,DNp32,720575940617516689,upstream
720575940630610042,DNp32,720575940595106922,upstream
720575940630610042,DNp32,720575940615871967,upstream
720575940630610042,DNp32,720575940630098284,upstream
720575940630610042,DNp32,720575940627600719,upstream
720575940630610042,DNp32,720575940625768336,upstream
720575940630610042,DNp32,720575940612430821,upstream
720575940630610042,DNp32,720575940624363144,upstream
720575940630610042,DNp32,720575940632505359,upstream
720575940630610042,DNp32,720575940631966545,upstream
720575940630610042,DNp32,720575940625804819,upstream
720575940630610042,DNp32,720575940614671978,upstream
720575940630610042,DNp32,720575940614383628,upstream
720575940630610042,DNp32,720575940606498313,upstream
720575940630610042,DNp32,720575940614067507,upstream
720575940630610042,DNp32,720575940615860250,upstream
720575940630610042,DNp32,720575940633167199,upstream
720575940630610042,DNp32,720575940639173173,upstream
720575940630610042,DNp32,720575940620577612,upstream
720575940630610042,DNp32,720575940619536331,upstream
720575940630610042,DNp32,720575940624712206,upstream
720575940630610042,DNp32,720575940626760600,upstream
720575940630610042,DNp32,720575940618157110,upstream
720575940630610042,DNp32,720575940642506459,upstream
720575940630610042,DNp32,720575940617518365,upstream
720575940630610042,DNp32,720575940617903168,upstream
720575940630610042,DNp32,720575940635515744,upstream
720575940630610042,DNp32,720575940629986816,upstream
720575940630610042,DNp32,720575940628865644,upstream
720575940630610042,DNp32,720575940625798695,upstream
720575940630610042,DNp32,720575940635681198,upstream
720575940630610042,DNp32,720575940623084799,upstream
720575940630610042,DNp32,720575940640204477,upstream
720575940630610042,DNp32,720575940639242303,upstream
720575940630610042,DNp32,720575940627062184,upstream
720575940630610042,DNp32,720575940636217012,upstream
720575940630610042,DNp32,720575940625419495,upstream
720575940630610042,DNp32,720575940628481512,upstream
720575940630610042,DNp32,720575940619676224,upstream
720575940630610042,DNp32,720575940625415178,upstream
720575940630610042,DNp32,720575940627286794,upstream
720575940630610042,DNp32,720575940617760257,upstream
720575940630610042,DNp32,720575940616679654,upstream
720575940630610042,DNp32,720575940631530148,upstream
720575940630610042,DNp32,720575940638256216,upstream
720575940630610042,DNp32,720575940623040767,upstream
720575940630610042,DNp32,720575940620552897,upstream
720575940630610042,DNp32,720575940623862771,upstream
720575940630610042,DNp32,720575940625132797,upstream
720575940630610042,DNp32,720575940624691600,upstream
720575940630610042,DNp32,720575940620096065,upstream
720575940630610042,DNp32,720575940641780187,upstream
720575940630610042,DNp32,720575940635561335,upstream
720575940630610042,DNp32,720575940620905163,upstream
720575940630610042,DNp32,720575940625233296,upstream
720575940630610042,DNp32,720575940608027915,upstream
720575940630610042,DNp32,720575940616838789,upstream
720575940630610042,DNp32,720575940626451088,upstream
720575940630610042,DNp32,720575940622461636,upstream
720575940630610042,DNp32,720575940633901395,upstream
720575940630610042,DNp32,720575940626994453,upstream
720575940630610042,DNp32,720575940629760567,upstream
720575940630610042,DNp32,720575940626342174,upstream
720575940630610042,DNp32,720575940633413715,upstream
720575940630610042,DNp32,720575940639297408,upstream
720575940630610042,DNp32,720575940609329102,upstream
720575940630610042,DNp32,720575940622892469,upstream
720575940630610042,DNp32,720575940611988686,upstream
720575940630610042,DNp32,720575940607249365,upstream
720575940630610042,DNp32,720575940646433059,upstream
720575940630610042,DNp32,720575940659429761,upstream
720575940630610042,DNp32,720575940626394114,upstream
720575940630610042,DNp32,720575940626168266,upstream
720575940630610042,DNp32,720575940615798470,upstream
720575940630610042,DNp32,720575940646919476,upstream
720575940630610042,DNp32,720575940646913844,upstream
720575940630610042,DNp32,720575940646097175,upstream
720575940630610042,DNp32,720575940612171237,upstream
720575940630610042,DNp32,720575940615529414,upstream
720575940630610042,DNp32,720575940611982322,upstream
720575940630610042,DNp32,720575940641148149,upstream
720575940630610042,DNp32,720575940641141237,upstream
720575940630610042,DNp32,720575940640422478,upstream
720575940630610042,DNp32,720575940625584484,upstream
