neuron_id,neuron_type,partner_id,partner_type,connection_type
720575940619921488,SLP131,720575940622709287,unknown,upstream
720575940619921488,SLP131,720575940611784817,unknown,upstream
720575940619921488,SLP131,720575940628003304,unknown,upstream
720575940619921488,SLP131,720575940633735575,unknown,upstream
720575940619921488,SLP131,720575940611608037,unknown,upstream
720575940619921488,SLP131,720575940634662626,unknown,upstream
720575940619921488,SLP131,720575940635754431,unknown,upstream
720575940619921488,SLP131,720575940625461762,unknown,upstream
720575940619921488,SLP131,720575940634782712,unknown,upstream
720575940619921488,SLP131,720575940620229217,unknown,upstream
720575940619921488,SLP131,720575940621122086,unknown,upstream
720575940619921488,SLP131,720575940631420483,unknown,upstream
720575940619921488,SLP131,720575940629148315,unknown,upstream
720575940619921488,SLP131,720575940621114177,unknown,upstream
720575940619921488,SLP131,720575940632575180,unknown,upstream
720575940619921488,SLP131,720575940620925643,unknown,upstream
720575940619921488,SLP131,720575940628955386,unknown,upstream
720575940619921488,SLP131,720575940622630489,unknown,upstream
720575940619921488,SLP131,720575940624107751,unknown,upstream
720575940619921488,SLP131,720575940625712688,unknown,upstream
720575940619921488,SLP131,720575940650943353,unknown,upstream
720575940619921488,SLP131,720575940596488126,unknown,upstream
720575940619921488,SLP131,720575940612615745,unknown,upstream
720575940619921488,SLP131,720575940618950814,unknown,upstream
720575940619921488,SLP131,720575940607802123,unknown,upstream
720575940619921488,SLP131,720575940621399222,unknown,upstream
720575940619921488,SLP131,720575940627987974,unknown,upstream
720575940619921488,SLP131,720575940616791782,unknown,upstream
720575940619921488,SLP131,720575940624662508,unknown,upstream
720575940619921488,SLP131,720575940630038743,unknown,upstream
720575940619921488,SLP131,720575940610773782,unknown,upstream
720575940619921488,SLP131,720575940621081889,unknown,upstream
720575940619921488,SLP131,720575940632109775,unknown,upstream
720575940619921488,SLP131,720575940630317942,unknown,upstream
720575940619921488,SLP131,720575940616056806,unknown,upstream
720575940619921488,SLP131,720575940639392115,unknown,upstream
720575940619921488,SLP131,720575940623998563,unknown,upstream
720575940619921488,SLP131,720575940639624509,unknown,upstream
720575940619921488,SLP131,720575940630742888,unknown,upstream
720575940619921488,SLP131,720575940616037014,unknown,upstream
720575940619921488,SLP131,720575940625907726,unknown,upstream
720575940619921488,SLP131,720575940624589543,unknown,upstream
720575940619921488,SLP131,720575940603231916,unknown,upstream
720575940619921488,SLP131,720575940629600709,unknown,upstream
720575940619921488,SLP131,720575940651570678,unknown,upstream
720575940619921488,SLP131,720575940625777040,unknown,upstream
720575940619921488,SLP131,720575940585682884,unknown,upstream
720575940619921488,SLP131,720575940614309535,unknown,upstream
720575940619921488,SLP131,720575940624763123,unknown,upstream
720575940619921488,SLP131,720575940632060333,unknown,upstream
720575940619921488,SLP131,720575940630306245,unknown,upstream
720575940619921488,SLP131,720575940611549363,unknown,upstream
720575940619921488,SLP131,720575940627638037,unknown,upstream
720575940619921488,SLP131,720575940617910155,unknown,upstream
720575940619921488,SLP131,720575940636572152,unknown,upstream
720575940619921488,SLP131,720575940614981062,unknown,upstream
720575940619921488,SLP131,720575940627146186,unknown,upstream
720575940619921488,SLP131,720575940610895826,unknown,upstream
720575940619921488,SLP131,720575940629861163,unknown,upstream
720575940619921488,SLP131,720575940644405870,unknown,upstream
720575940619921488,SLP131,720575940636084848,unknown,upstream
720575940619921488,SLP131,720575940621547015,unknown,upstream
720575940619921488,SLP131,720575940619933269,unknown,upstream
720575940619921488,SLP131,720575940623219113,unknown,upstream
720575940619921488,SLP131,720575940620220075,unknown,upstream
720575940619921488,SLP131,720575940635678871,unknown,upstream
720575940619921488,SLP131,720575940629401674,unknown,upstream
720575940619921488,SLP131,720575940643812887,unknown,upstream
720575940619921488,SLP131,720575940653580022,unknown,upstream
720575940619921488,SLP131,720575940631103744,unknown,upstream
720575940619921488,SLP131,720575940626850280,unknown,upstream
720575940619921488,SLP131,720575940619930021,unknown,upstream
720575940619921488,SLP131,720575940643651784,unknown,upstream
720575940619921488,SLP131,720575940638642502,unknown,upstream
720575940619921488,SLP131,720575940613838498,unknown,upstream
720575940619921488,SLP131,720575940613103791,unknown,upstream
720575940619921488,SLP131,720575940610224738,unknown,upstream
720575940619921488,SLP131,720575940639025742,unknown,upstream
720575940619921488,SLP131,720575940617288605,unknown,upstream
720575940619921488,SLP131,720575940619096660,unknown,upstream
720575940619921488,SLP131,720575940608037298,unknown,upstream
720575940619921488,SLP131,720575940638432053,unknown,upstream
720575940619921488,SLP131,720575940630535030,unknown,upstream
720575940619921488,SLP131,720575940638429824,unknown,upstream
720575940619921488,SLP131,720575940630818242,unknown,upstream
720575940619921488,SLP131,720575940618447965,unknown,upstream
720575940619921488,SLP131,720575940614373056,unknown,upstream
720575940619921488,SLP131,720575940611080337,unknown,upstream
720575940619921488,SLP131,720575940606725833,unknown,upstream
720575940619921488,SLP131,720575940646488430,unknown,upstream
720575940619921488,SLP131,720575940625984893,unknown,upstream
720575940619921488,SLP131,720575940615258699,unknown,upstream
720575940619921488,SLP131,720575940615160239,unknown,upstream
720575940619921488,SLP131,720575940615149836,unknown,upstream
720575940619921488,SLP131,720575940614718623,unknown,upstream
720575940619921488,SLP131,720575940614476199,unknown,upstream
720575940619921488,SLP131,720575940614387198,unknown,upstream
720575940619921488,SLP131,720575940614350846,unknown,upstream
720575940619921488,SLP131,720575940614291980,unknown,upstream
