root_id,partner_neuron_id,synapse_count,partner_cell_type,partner_brain_side,connection_type
720575940613891442,720575940618886710,6,PVLP076,left,downstream
720575940613891442,720575940604690278,6,LAL098,left,downstream
720575940613891442,720575940628485479,6,PS198,right,downstream
720575940613891442,720575940613165970,6,VES070,right,downstream
720575940613891442,720575940622257729,6,"VES051,VES052",left,downstream
720575940613891442,720575940622018217,6,LAL040,left,downstream
720575940613891442,720575940613163473,6,LAL022,right,downstream
720575940613891442,720575940615238075,6,LC9,left,downstream
720575940613891442,720575940615250850,6,LAL167,right,downstream
720575940613891442,720575940639278781,6,1848277193,right,downstream
720575940613891442,720575940659489153,6,unknown,left,downstream
720575940613891442,720575940624515786,6,LAL133,left,downstream
720575940613891442,720575940610357602,6,LAL128,left,downstream
720575940613891442,720575940622334448,6,M_spPN5t10,right,downstream
720575940613891442,720575940616286175,6,LAL041,left,downstream
720575940613891442,720575940641148405,6,LAL193,left,downstream
720575940613891442,720575940641904525,6,unknown,right,downstream
720575940613891442,720575940610382771,5,"VES051,VES052",left,downstream
720575940613891442,720575940611494629,5,VES022,left,downstream
720575940613891442,720575940612869416,5,ATL044,right,downstream
720575940613891442,720575940630546302,5,PVLP140,right,downstream
720575940613891442,720575940616736230,5,"PVLP004,PVLP005",left,downstream
720575940613891442,720575940604165856,5,VES007,left,downstream
720575940613891442,720575940610439363,5,LAL010,right,downstream
720575940613891442,720575940634158175,5,PVLP060,left,downstream
720575940613891442,720575940627849515,5,LAL052,right,downstream
720575940613891442,720575940638245027,5,PVLP012,right,downstream
720575940613891442,720575940624867721,5,unknown,right,downstream
720575940613891442,720575940634893419,5,LNO1,right,downstream
720575940613891442,720575940637323071,5,VES071,left,downstream
720575940613891442,720575940626977167,5,1282507669,right,downstream
720575940613891442,720575940644071703,5,"PVLP004,PVLP005",right,downstream
720575940613891442,720575940612717795,5,IB023,right,downstream
720575940613891442,720575940630644727,5,SMP163,right,downstream
720575940613891442,720575940619864047,5,PLP034,right,downstream
720575940613891442,720575940628245647,5,unknown,left,downstream
720575940613891442,720575940641480949,5,unknown,right,downstream
720575940613891442,720575940635901018,5,unknown,right,downstream
720575940613891442,720575940617313841,5,LAL059,right,downstream
720575940613891442,720575940614799154,5,FB3A,left,downstream
