root_id,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,side,input_synapses,output_synapses,Syn
720575940621216982,dopamine,intrinsic,central,DAN,,PAM08,CREa2_medial,,right,567,316,2
720575940381063097,,,,,,,,,,0,0,2
720575940621111687,acetylcholine,intrinsic,central,,,"CL123,CRE061",CREl1,,right,439,925,2
720575940620830057,,,,,,,,,,0,0,2
720575940620826729,,,,,,,,,,0,0,2
720575940620823401,,,,,,,,,,0,0,2
720575940611114827,,,,,,,,,,0,0,2
720575940586287659,,,,,,,,,,0,0,2
720575940586286379,,,,,,,,,,0,0,2
720575940621811182,glutamate,intrinsic,central,CX,tangential,"FB4P,FB4Q,FB4R",AOTUv4_ventral,,right,661,2531,2
720575940469041545,,,,,,,,,,0,0,2
720575940449006650,,,,,,,,,,0,0,2
720575940622771082,dopamine,intrinsic,central,Kenyon_Cell,,KCg-m,MBp1,,right,175,186,2
720575940587139067,,,,,,,,,,0,0,2
720575940408372530,,,,,,,,,,0,0,2
720575940424427158,,,,,,,,,,0,0,2
720575940587133435,,,,,,,,,,0,0,2
720575940600974524,,,,,,,,,,0,0,2
720575940559153198,,,,,,,,,,0,0,2
720575940496142988,,,,,,,,,,0,0,2
720575940611812050,acetylcholine,intrinsic,central,,,CB0272,putative_primary,,right,1363,6836,2
720575940600969148,,,,,,,,,,0,0,2
720575940622338269,dopamine,intrinsic,central,DAN,,PAM08,CREa1_dorsal,,right,607,669,2
720575940449018682,,,,,,,,,,0,0,2
720575940504320604,,,,,,,,,,0,0,2
720575940611714379,,,,,,,,,,0,0,2
720575940428804432,,,,,,,,,,0,0,2
720575940622016169,glutamate,intrinsic,central,CX,tangential,FB5V,AOTUv4_ventral,,right,592,1744,2
720575940579227488,,,,,,,,,,0,0,2
720575940487467688,,,,,,,,,,0,0,2
720575940586842224,,,,,,,,,,0,0,2
720575940469065865,,,,,,,,,,0,0,2
720575940469059209,,,,,,,,,,0,0,2
720575940600300510,,,,,,,,,,0,0,2
720575940437229947,,,,,,,,,,0,0,2
720575940490481848,,,,,,,,,,0,0,2
720575940586284331,,,,,,,,,,0,0,2
720575940609230313,,,,,,,,,,0,0,2
720575940597798189,,,,,,,,,,0,0,2
720575940463270533,,,,,,,,,,0,0,2
720575940618442650,,,,,,,,,,0,0,2
720575940564548474,,,,,,,,,,0,0,2
720575940609223404,,,,,,,,,,0,0,2
720575940618429594,,,,,,,,,,0,0,2
720575940564544122,,,,,,,,,,0,0,2
720575940490508984,,,,,,,,,,0,0,2
720575940618425242,,,,,,,,,,0,0,2
720575940618387354,,,,,,,,,,0,0,2
720575940490503352,,,,,,,,,,0,0,2
720575940430937327,,,,,,,,,,0,0,2
720575940586199083,,,,,,,,,,0,0,2
720575940556592223,,,,,,,,,,0,0,2
720575940564479859,,,,,,,,,,0,0,2
720575940490496440,,,,,,,,,,0,0,2
720575940608343276,,,,,,,,,,0,0,2
720575940577639190,,,,,,,,,,0,0,2
720575940509224756,,,,,,,,,,0,0,2
720575940385142052,,,,,,,,,,0,0,2
720575940618509865,,,,,,,,,,0,0,2
720575940452956989,,,,,,,,,,0,0,2
720575940490514872,,,,,,,,,,0,0,2
720575940578278603,,,,,,,,,,0,0,2
720575940434886090,,,,,,,,,,0,0,2
720575940379984725,,,,,,,,,,0,0,2
720575940620419317,,,,,,,,,,0,0,2
720575940415990045,,,,,,,,,,0,0,2
720575940620352565,,,,,,,,,,0,0,2
720575940610321684,,,,,,,,,,0,0,2
720575940417032320,,,,,,,,,,0,0,2
720575940620027515,glutamate,intrinsic,central,CX,,ExR6,LALv1_dorsal,,left,6079,10057,2
720575940610319380,,,,,,,,,,0,0,2
720575940380258644,,,,,,,,,,0,0,2
720575940618529321,,,,,,,,,,0,0,2
720575940465956656,,,,,,,,,,0,0,2
720575940618754894,,,,,,,,,,0,0,2
720575940618751054,,,,,,,,,,0,0,2
720575940618682782,glutamate,intrinsic,central,,,SMP081,SMPad1,,right,2900,8166,2
720575940417026176,,,,,,,,,,0,0,2
720575940578164187,,,,,,,,,,0,0,2
720575940598624113,,,,,,,,,,0,0,2
720575940490525427,,,,,,,,,,0,0,2
720575940448938689,,,,,,,,,,0,0,2
720575940615138448,,,,,,,,,,0,0,2
720575940586202155,,,,,,,,,,0,0,2
720575940615132469,,,,,,,,,,0,0,2
720575940432799787,,,,,,,,,,0,0,2
720575940601654695,,,,,,,,,,0,0,2
720575940428831824,,,,,,,,,,0,0,2
720575940496287931,,,,,,,,,,0,0,2
720575940496281531,,,,,,,,,,0,0,2
720575940580838100,,,,,,,,,,0,0,2
720575940567014479,,,,,,,,,,0,0,2
720575940580770772,,,,,,,,,,0,0,2
720575940580769748,,,,,,,,,,0,0,2
720575940612574253,,,,,,,,,,0,0,2
720575940612573485,,,,,,,,,,0,0,2
720575940567012687,,,,,,,,,,0,0,2
720575940588702071,,,,,,,,,,0,0,2
720575940601466358,,,,,,,,,,0,0,2
720575940545247733,,,,,,,,,,0,0,2
720575940601465846,,,,,,,,,,0,0,2
720575940626743495,acetylcholine,intrinsic,central,,,CRE065,CREl1,,left,84,872,2
720575940514277950,,,,,,,,,,0,0,2
720575940588700023,,,,,,,,,,0,0,2
720575940612539437,,,,,,,,,,0,0,2
720575940470398412,,,,,,,,,,0,0,2
720575940612499005,,,,,,,,,,0,0,2
720575940612755618,dopamine,intrinsic,central,DAN,,PAM07,CREa2_medial,,right,167,337,2
720575940628017038,,,,,,,,,,0,0,2
720575940589735182,,,,,,,,,,0,0,2
720575940601848487,,,,,,,,,,0,0,2
720575940612985923,,,,,,,,,,0,0,2
720575940629736162,,,,,,,,,,0,0,2
720575940629735394,,,,,,,,,,0,0,2
720575940435244580,,,,,,,,,,0,0,2
720575940612984643,,,,,,,,,,0,0,2
720575940588957418,,,,,,,,,,0,0,2
720575940603088438,,,,,,,,,,0,0,2
720575940629596386,,,,,,,,,,0,0,2
720575940581060391,,,,,,,,,,0,0,2
720575940581057575,,,,,,,,,,0,0,2
720575940404953271,,,,,,,,,,0,0,2
720575940581055783,,,,,,,,,,0,0,2
720575940629095323,acetylcholine,intrinsic,central,,,CB2706,DM1_antero_dorsal,,right,646,2679,2
720575940612979779,,,,,,,,,,0,0,2
720575940514332222,,,,,,,,,,0,0,2
720575940588744823,,,,,,,,,,0,0,2
720575940602146685,,,,,,,,,,0,0,2
720575940581050919,,,,,,,,,,0,0,2
720575940379928917,,,,,,,,,,0,0,2
720575940612972867,,,,,,,,,,0,0,2
720575940628057862,glutamate,intrinsic,central,CX,tangential,FB4O,AOTUv4_ventral,,left,446,1884,2
720575940404950711,,,,,,,,,,0,0,2
720575940612422696,acetylcholine,intrinsic,central,,,IB064,putative_primary,,left,689,4900,2
720575940544394649,,,,,,,,,,0,0,2
720575940428825936,,,,,,,,,,0,0,2
720575940559210030,,,,,,,,,,0,0,2
720575940624294143,acetylcholine,intrinsic,central,,,CRE001,LHl2_dorsal,,right,405,1327,2
720575940601203909,,,,,,,,,,0,0,2
720575940624176107,glutamate,intrinsic,central,,,ATL034,putative_primary,,right,885,3638,2
720575940601203397,,,,,,,,,,0,0,2
720575940601202629,,,,,,,,,,0,0,2
720575940439356286,,,,,,,,,,0,0,2
720575940448760247,,,,,,,,,,0,0,2
720575940489299851,,,,,,,,,,0,0,2
720575940601200837,,,,,,,,,,0,0,2
720575940397359672,,,,,,,,,,0,0,2
720575940489286539,,,,,,,,,,0,0,2
720575940612023371,,,,,,,,,,0,0,2
720575940601197509,,,,,,,,,,0,0,2
720575940428819280,,,,,,,,,,0,0,2
720575940623440460,acetylcholine,intrinsic,central,,,SMP173,CREl1,,right,224,1195,2
720575940434922442,,,,,,,,,,0,0,2
720575940623230200,,,,,,,,,,0,0,2
720575940382359038,,,,,,,,,,0,0,2
720575940448456774,,,,,,,,,,0,0,2
720575940615108405,,,,,,,,,,0,0,2
720575940566987087,,,,,,,,,,0,0,2
720575940579716447,,,,,,,,,,0,0,2
720575940588119578,,,,,,,,,,0,0,2
720575940559219246,,,,,,,,,,0,0,2
720575940559226670,,,,,,,,,,0,0,2
720575940601306535,,,,,,,,,,0,0,2
720575940626230754,,,,,,,,,,0,0,2
720575940588125978,,,,,,,,,,0,0,2
720575940588123930,,,,,,,,,,0,0,2
720575940496259003,,,,,,,,,,0,0,2
720575940439391870,,,,,,,,,,0,0,2
720575940626191635,gaba,intrinsic,central,,,CB3065,LALa1_anterior,,right,373,964,2
720575940601273285,,,,,,,,,,0,0,2
720575940625934094,dopamine,intrinsic,central,MBIN,,DPM,putative_primary,,right,43022,9165,2
720575940612203803,,,,,,,,,,0,0,2
720575940612331837,,,,,,,,,,0,0,2
