root_id,label,name,nt_type,flow,super_class,class,sub_class,cell_type,hemilineage,nerve,connectivity_tag,side,input_synapses,output_synapses,Syn
720575940634057884,['DM5_dorsal'],LAL.SMP.8,ACH,intrinsic,central,,,['LAL154'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,761,1047,7
720575940638886307,['DM6'],SMP.290,ACH,intrinsic,central,,,['CL326'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,846,979,7
720575940643309197,['MBON01; y5B`2a'; 'MBON01; y5B`2a; FBbt_00100234'; 'SMPad3'],MB_ML.SMP.2,GLUT,intrinsic,central,MBON,,['MBON01'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,3373,4387,7
720575940607249365,['pMP6b'],SMP.SLP.14,ACH,intrinsic,central,,,['CRE080a'; 'CRE080'],DM1_antero_dorsal,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,329,372,6
720575940608663253,[],CRE.SLP.5,ACH,intrinsic,central,,,['CRE082'; 'pMP6'],DM1_antero_dorsal,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,306,532,6
720575940614587615,[],VES.IB.6,ACH,intrinsic,central,,,['IB064'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,697,1373,6
720575940615921803,[],CRE.FB.36,SER,intrinsic,central,CX,tangential,['4I3'; 'CB.FB3'; 'FB4A'; 'FB4D'; 'FB4E'; 'FB4F'; 'FB4G'; 'FB4H'; 'FB4I'; 'FB4J'],LALv1_dorsal,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,328,691,6
720575940616117794,[],SMP.1789,ACH,intrinsic,central,,,['CRE065'],CREl1,,['feedforward_loop_participant'; '3_cycle_participant'],right,30,209,6
720575940617955099,[],SMP.VES.1,ACH,intrinsic,central,,,['SMP471'],DM1_antero_dorsal,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,3019,1772,6
720575940624176107,[],CRE.ATL.7,GLUT,intrinsic,central,,,['ATL034'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,882,964,6
720575940625800852,[],CRE.SCL.4,ACH,intrinsic,central,,,['CRE080a'; 'CRE080'],DM1_antero_dorsal,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,351,480,6
720575940635022703,['pMP6c; put_PDM13a'],CRE.SLP.6,ACH,intrinsic,central,,,['CRE080c'; 'CRE080'],DM1_antero_dorsal,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,530,628,6
720575940636134366,['ER1'],LAL.487,,intrinsic,central,CX,ring_neuron,['ER1'],EBa1,,['feedforward_loop_participant'],right,56,87,6
720575940640770957,[],CRE.MB_ML.40,DA,intrinsic,central,DAN,,['PAM12'],CREa2_medial,,['feedforward_loop_participant'; '3_cycle_participant'],right,48,27,6
720575940643234760,[],CRE.IB.16,GLUT,intrinsic,central,,,['ATL035'; 'ATL036'],putative_primary,,['rich_club'; 'feedforward_loop_participant'; '3_cycle_participant'],right,362,236,6
720575940645829764,[],CRE.IB.12,GLUT,intrinsic,central,,,['ATL035'; 'ATL036'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,505,656,6
720575940617651829,['CRE001'],SMP.1198,ACH,intrinsic,central,,,['CRE001'],LHl2_dorsal,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,321,367,5
720575940618775943,[],SMP.MB_ML.51,DA,intrinsic,central,DAN,,['PAM12'],CREa1_dorsal,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,51,60,5
720575940619820368,['pIP11; put_PVM06j'],LAL.CRE.13,ACH,intrinsic,central,,,['LAL185'; 'pIP11'],DM5_ventral,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,810,882,5
720575940620324079,[],SMP.30,GLUT,intrinsic,central,,,['SMP115'],SMPad3,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,3127,1603,5
720575940620716897,[],SMP.371,DA,intrinsic,central,,,['PAL02'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,1285,211,5
720575940622389640,['VLPp2'],LAL.194,ACH,intrinsic,central,,,['LAL196'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,922,665,5
720575940623613149,[],CRE.ATL.2,ACH,intrinsic,central,,,['ATL037'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,1725,1858,5
720575940625893507,[],CRE.64,ACH,intrinsic,central,,,['ATL029'],DM1_antero_dorsal,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,675,420,5
720575940625929971,['ExR4; ExR4'; 'LALv1'],GA.EB.4,ACH,intrinsic,central,CX,,['ExR4'],LALv1_dorsal,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,1593,800,5
720575940626316606,[],FB.194,GLUT,intrinsic,central,CX,tangential,['4D3'; 'CB.FB3'; 'FB4P'; 'FB4Q'; 'FB4R'],AOTUv4_ventral,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,511,1351,5
720575940626743495,['CRE065'; 'new_clone_2'],CRE.280,ACH,intrinsic,central,,,['CRE065'],CREl1,,['feedforward_loop_participant'],left,33,107,5
720575940627357969,[],FB.191,GLUT,intrinsic,central,CX,tangential,['4D0'; 'CB.FB3'; 'FB4P'; 'FB4Q'; 'FB4R'],AOTUv4_ventral,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,621,1439,5
720575940631154396,[],LH.CRE.7,ACH,intrinsic,central,,,['LHPV7c1'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,1254,1367,5
720575940632518348,[],SMP.1420,GLUT,intrinsic,central,,,['CB1062'],SMPad3,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,171,151,5
720575940632862177,[],FB.228,GLUT,intrinsic,central,CX,tangential,['4D3'; 'CB.FB3'; 'FB4P'; 'FB4Q'; 'FB4R'],AOTUv4_ventral,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,519,1312,5
720575940634640023,['CREa2_ventral'],CRE.MB_ML.41,DA,intrinsic,central,DAN,,['PAM12'],CREa2_medial,,['feedforward_loop_participant'; '3_cycle_participant'],right,33,20,5
720575940635342236,[],ATL.IB.2,GLUT,intrinsic,central,,,['ATL035'; 'ATL036'],putative_primary,,['rich_club'; 'feedforward_loop_participant'; '3_cycle_participant'],right,510,303,5
720575940636318350,[],CRE.258,ACH,intrinsic,central,,,['CB1357'],DL1_dorsal,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,154,183,5
720575940642272456,[],SMP.1412,ACH,intrinsic,central,,,['SMP194'],DL1_dorsal,,['reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],right,116,203,5
720575940642652104,[],SMP.CRE.144,ACH,intrinsic,central,,,['CRE065'],CREl1,,['feedforward_loop_participant'],left,67,146,5
720575940644639342,[],GNG.121,ACH,intrinsic,central,,,['CB0039'],putative_primary,,['rich_club'; 'reciprocal'; 'feedforward_loop_participant'; '3_cycle_participant'],left,1839,2082,5
